region_code,region_name,year,population,senior_population,youth_population
47110,포항시,2014,519368,62118,106309
47110,포항시,2015,519584,65214,104214
47110,포항시,2016,516775,68296,100229
47110,포항시,2017,513832,72952,96261
47110,포항시,2018,510013,77024,92863
47110,포항시,2019,507025,82001,90589
47110,포항시,2020,502916,87960,87277
47110,포항시,2021,503852,93477,87206
47110,포항시,2022,496650,98684,83141
47110,포항시,2023,493033,104052,81149
47110,포항시,2024,491581,110312,79264
47110,포항시,2025,488707,116943,76417
47130,경주시,2014,261535,46118,48431
47130,경주시,2015,259773,47334,47081
47130,경주시,2016,259452,48789,45765
47130,경주시,2017,257903,50780,44224
47130,경주시,2018,256864,52504,43298
47130,경주시,2019,255402,54639,42479
47130,경주시,2020,253502,57313,40751
47130,경주시,2021,251889,59645,39441
47130,경주시,2022,249607,61861,37751
47130,경주시,2023,247489,64296,36567
47130,경주시,2024,244769,67248,34899
47130,경주시,2025,244055,70432,34095
47150,김천시,2014,135456,27130,24893
47150,김천시,2015,140132,27839,25922
47150,김천시,2016,142256,28488,25609
47150,김천시,2017,142908,29536,25028
47150,김천시,2018,141104,30318,23895
47150,김천시,2019,141229,31252,23642
47150,김천시,2020,140548,32520,22672
47150,김천시,2021,140239,33668,22040
47150,김천시,2022,139324,34794,21393
47150,김천시,2023,137515,35830,20499
47150,김천시,2024,135446,37426,19383
47150,김천시,2025,133791,38720,18349
47170,안동시,2014,168697,33358,30515
47170,안동시,2015,169221,33954,29797
47170,안동시,2016,168798,34672,29000
47170,안동시,2017,166272,35948,27832
47170,안동시,2018,162180,36850,26552
47170,안동시,2019,160052,37906,25860
47170,안동시,2020,158907,39193,25367
47170,안동시,2021,156972,40332,24764
47170,안동시,2022,154610,41265,23839
47170,안동시,2023,152935,42408,23314
47170,안동시,2024,153159,43801,24425
47170,안동시,2025,152610,45475,24381
47190,구미시,2014,420320,29136,108998
47190,구미시,2015,419915,30252,106100
47190,구미시,2016,419891,31554,102523
47190,구미시,2017,421799,33605,99949
47190,구미시,2018,421494,35432,97432
47190,구미시,2019,419742,37540,95094
47190,구미시,2020,416328,39998,91267
47190,구미시,2021,412581,42574,87585
47190,구미시,2022,408110,45239,84571
47190,구미시,2023,405506,48298,81919
47190,구미시,2024,404820,52744,79449
47190,구미시,2025,403883,57260,77046
47210,영주시,2014,110780,23503,17809
47210,영주시,2015,109735,24080,17197
47210,영주시,2016,109247,24577,16711
