hospital_id,hospital_name,region_code,hospital_type,address,opened_on,beds,latitude,longitude,closure_candidate,distance_km
JDQ4MTYyMiM4MSMkMiMkMCMkMDAkNDgxOTYxIzUxIyQxIyQxIyQ3MiQyNjEwMDIjNDEjJDEjJDgjJDgz,(사) 경찰공제회 포항의원,47110,의원,"경상북도 포항시 남구 오천읍 냉천로 656, (오천읍)",2001-06-13,0,35.9422573,129.3928992,False,18.46
JDQ4MTYyMiM4MSMkMiMkMCMkMDAkNDgxOTYxIzMxIyQxIyQ3IyQ4OSQzNjE0ODEjNTEjJDEjJDYjJDgz,(재)한국산업보건연구재단 서울DMC건강의원 포항분원,47110,의원,"경상북도 포항시 남구 오천읍 중원로 71-11, 1동 1층 101호",2015-10-06,0,35.9753328,129.4002373,False,15.56
JDQ4MTYyMiM4MSMkMiMkMCMkMDAkNDgxMTkxIzIxIyQxIyQ5IyQ2MiQzNjEyMjIjNjEjJDEjJDAjJDgz,(주)포스코부속의원,47110,의원,"경상북도 포항시 남구 동해안로6213번길 27, 보건지원센타 (동촌동)",2022-03-08,0,35.9953456,129.3875613,False,13.07
JDQ4MTYyMiM4MSMkMSMkMCMkNzIkMzgxOTYxIzQxIyQxIyQ3IyQ5OSQzNjE0ODEjNjEjJDEjJDAjJDgz,2080치과의원,47110,치과의원,"경상북도 포항시 북구 포스코대로 279, (죽도동)",2003-12-02,0,36.0210324,129.3553095,False,9.12
JDQ4MTYyMiM4MSMkMiMkMCMkMDAkNDgxMTkxIzIxIyQxIyQxIyQ3MiQzNjEyMjIjODEjJDEjJDYjJDgz,21세기연합정형외과의원,47110,의원,"경상북도 포항시 북구 학전로111번길 43, (두호동)",2014-12-23,0,36.0631164,129.3715307,False,6.74
JDQ4MTYyMiM4MSMkMSMkMCMkNzIkMzgxOTYxIzUxIyQyIyQxIyQwMCQ0NjE0ODEjNDEjJDEjJDgjJDgz,21세기치과의원,47110,치과의원,"경상북도 포항시 북구 학전로111번길 43, (두호동)",2005-09-22,0,36.0631164,129.3715307,False,6.74
JDQ4MTYyMiM4MSMkMSMkMCMkMTMkNDgxOTYxIzQxIyQxIyQ3IyQwMyQzNjEyMjIjNjEjJDEjJDAjJDgz,365금손한의원,47110,한의원,"경상북도 포항시 북구 새천년대로 1273, 2층 (장성동)",2025-08-27,0,36.0751306,129.3862405,False,7.47
JDQ4MTYyMiM4MSMkMiMkMCMkMDAkNDgxMTkxIzExIyQxIyQ3IyQ5OSQyNjEwMDIjNDEjJDEjJDQjJDgz,365늘속편한내과의원,47110,의원,"경상북도 포항시 남구 상도남로34번길 15, 2층 (상도동)",2019-04-04,0,36.0067987,129.3447662,False,10.17
JDQ4MTYyMiM4MSMkMiMkMCMkMDAkMzgxMTkxIzExIyQxIyQzIyQ3OSQ0NjEwMDIjNTEjJDEjJDIjJDgz,365드림아이의원,47110,의원,"경상북도 포항시 북구 삼흥로 18, (두호동)",2013-09-09,0,36.063902,129.3803682,False,7.41
JDQ4MTYyMiM4MSMkMSMkMCMkMTMkNDgxOTYxIzIxIyQxIyQ5IyQ4MiQ0NjE0ODEjNzEjJDEjJDgjJDgz,365청담한의원,47110,한의원,"경상북도 포항시 남구 대이로 45, 3층 (대잠동, 이수빌딩)",2013-01-02,0,36.0192664,129.3415648,False,8.77
JDQ4MTYyMiM4MSMkMiMkMCMkMDAkMzgxOTYxIzExIyQxIyQzIyQ5MiQyNjEyMjIjNDEjJDEjJDgjJDgz,ABC김광우소아청소년과의원,47110,의원,"경상북도 포항시 북구 두호로 21, (두호동)",2002-09-25,0,36.0597091,129.3760844,False,7.29
JDQ4MTYyMiM4MSMkMiMkMCMkMDAkNDgxMzUxIzQxIyQxIyQ3IyQ3OSQyNjEwMDIjNTEjJDEjJDIjJDgz,S나비의원,47110,의원,"경상북도 포항시 북구 중흥로 331-1, (죽도동)",2005-12-16,0,36.0317022,129.3648568,False,8.6
JDQ4MTYyMiM4MSMkMSMkMCMkMTMkNDgxMzUxIzMxIyQxIyQ3IyQ2MiQyNjEyMjIjNDEjJDEjJDgjJDgz,가온자리한의원,47110,한의원,"경상북도 포항시 북구 두호로 25, (두호동)",2004-05-27,0,36.0598221,129.3754941,False,7.24
JDQ4MTYyMiM4MSMkMSMkMCMkNzIkMzgxMTkxIzIxIyQxIyQxIyQ5MiQzNjE4MzIjODEjJDEjJDYjJDgz,가지런한이연합치과교정과치과의원,47110,치과의원,"경상북도 포항시 북구 중흥로 206, (죽도동)",2014-03-19,0,36.0219116,129.3578079,False,9.14
JDQ4MTYyMiM4MSMkMSMkMCMkMTMkMzgxNzAyIzMxIyQxIyQ3IyQ3MiQ0NjE0ODEjNDEjJDEjJDgjJDgz,갑자한의원,47110,한의원,"경상북도 포항시 북구 중흥로 341-1, (죽도동)",1992-09-01,0,36.0324497,129.3653872,False,8.56
JDQ4MTYyMiM4MSMkMSMkMCMkNzIkMzgxOTYxIzQxIyQxIyQ3IyQ4OSQ0NjE0ODEjNDEjJDEjJDQjJDgz,강남탑치과의원,47110,치과의원,"경상북도 포항시 남구 오천읍 원동로 22, (4층)",2015-02-16,0,35.9650037,129.4032856,False,16.68
JDQ4MTYyMiM4MSMkMiMkMCMkMDAkMzgxOTYxIzUxIyQxIyQxIyQwMyQ0NjE0ODEjODEjJDEjJDIjJDgz,강석암의원,47110,의원,"경상북도 포항시 북구 흥해읍 흥해로 26-4, (흥해읍)",1993-12-07,15,36.1079307,129.345587,False,3.94
