region_code,latitude,longitude,hospital_count,hospital_beds,access_distance_km,access_duration_min,access_method,route_exact_share_pct
47110,36.09269330932139,129.30601816050762,43,8783,4.23,6.44,kakao_car,99.2
47130,35.82655304463755,129.2362555603338,23,3657,6.06,9.84,kakao_car,100.0
47150,36.06040445409602,128.07769541486283,7,1978,7.35,14.7,kakao_car,99.2
47170,36.58025963261312,128.78008031602155,16,4763,5.73,10.43,kakao_car,100.0
47190,36.20735730137652,128.35545473264048,20,3480,3.35,6.89,kakao_car,89.7
47210,36.87042094125161,128.59766266418546,11,1939,4.67,8.53,kakao_car,87.1
47230,36.01577071803189,128.94255108748771,8,1937,6.5,10.4,kakao_car,97.1
47250,36.42956066508604,128.0669198970282,7,1274,8.39,13.39,kakao_car,95.8
47280,36.69080025906136,128.14864956010382,4,1216,6.85,11.7,kakao_car,93.4
47290,35.83397787954516,128.80907283540822,16,3254,4.6,8.61,kakao_car,100.0
47730,36.36205590142466,128.61506577562707,8,1086,7.21,11.32,kakao_car,100.0
47750,36.35695502761018,129.05732708028535,2,319,15.87,21.35,kakao_car,59.5
47760,36.69642281711125,129.1450939212556,1,50,12.32,19.58,kakao_car,87.6
47770,36.482371994617125,129.31762398774217,3,363,7.35,11.22,kakao_car,55.1
47820,35.672961098881224,128.78648343499862,9,1222,6.31,10.81,kakao_car,100.0
47830,35.73719649621589,128.3067380882467,2,162,7.91,13.79,kakao_car,100.0
47840,35.90724142587764,128.23337074790692,6,705,7.37,11.75,kakao_car,100.0
47850,36.01549142646984,128.46257537672113,8,1579,6.58,11.53,kakao_car,100.0
47900,36.65391075577861,128.42244334897862,3,751,7.67,11.8,kakao_car,100.0
47920,36.93413939171854,128.91294269601474,2,239,17.23,22.81,kakao_car,100.0
47930,36.9039558312682,129.31268959768028,3,280,11.3,15.03,kakao_car,79.5
47940,37.50189585815725,130.86339166002617,1,21,5.84,11.3,kakao_car,100.0
