region_code,region_name,province_name,year,population,senior_population,youth_population
11110,종로구,서울특별시,2014,156993,24376,37262
11110,종로구,서울특별시,2015,154986,24752,36732
11110,종로구,서울특별시,2016,152737,24950,35990
11110,종로구,서울특별시,2017,154770,26030,36453
11110,종로구,서울특별시,2018,153065,26572,35905
11110,종로구,서울특별시,2019,151290,27318,35536
11110,종로구,서울특별시,2020,149384,28311,34982
11110,종로구,서울특별시,2021,144683,27609,34407
11110,종로구,서울특별시,2022,141379,27704,34081
11110,종로구,서울특별시,2023,139417,28500,33634
11110,종로구,서울특별시,2024,138336,29574,33388
11110,종로구,서울특별시,2025,137048,30664,32817
11140,중구,서울특별시,2014,128065,19740,30554
11140,중구,서울특별시,2015,125733,20081,29686
11140,중구,서울특별시,2016,125249,20388,29385
11140,중구,서울특별시,2017,125709,21148,29264
11140,중구,서울특별시,2018,125725,21750,29504
11140,중구,서울특별시,2019,126171,22974,29878
11140,중구,서울특별시,2020,125240,24174,29676
11140,중구,서울특별시,2021,122499,24037,29571
11140,중구,서울특별시,2022,120437,24660,29233
11140,중구,서울특별시,2023,121312,25525,29938
11140,중구,서울특별시,2024,120544,26408,29508
11140,중구,서울특별시,2025,117805,27157,28314
11170,용산구,서울특별시,2014,235951,34571,55745
11170,용산구,서울특별시,2015,233342,35352,53984
11170,용산구,서울특별시,2016,230241,35547,52717
11170,용산구,서울특별시,2017,229161,36488,52757
11170,용산구,서울특별시,2018,228999,37212,53281
11170,용산구,서울특별시,2019,228670,38346,53734
11170,용산구,서울특별시,2020,230040,39779,54588
11170,용산구,서울특별시,2021,222953,38552,54234
11170,용산구,서울특별시,2022,218650,38478,54220
11170,용산구,서울특별시,2023,213151,39239,52517
11170,용산구,서울특별시,2024,203854,38894,49798
11170,용산구,서울특별시,2025,201894,39913,48844
11200,성동구,서울특별시,2014,296086,36564,73936
11200,성동구,서울특별시,2015,297003,38025,73233
11200,성동구,서울특별시,2016,299259,39140,73061
11200,성동구,서울특별시,2017,304808,41152,74331
11200,성동구,서울특별시,2018,308221,42629,75417
11200,성동구,서울특별시,2019,300889,43796,73608
11200,성동구,서울특별시,2020,293556,45435,71488
11200,성동구,서울특별시,2021,285990,46201,69105
11200,성동구,서울특별시,2022,281000,47530,67888
11200,성동구,서울특별시,2023,277361,49260,67276
11200,성동구,서울특별시,2024,273669,51030,65937
11200,성동구,서울특별시,2025,274606,53232,65767
11215,광진구,서울특별시,2014,363354,38808,99914
11215,광진구,서울특별시,2015,360369,40205,97884
11215,광진구,서울특별시,2016,357215,41292,96043
11215,광진구,서울특별시,2017,357703,43790,95923
11215,광진구,서울특별시,2018,355559,45432,95243
11215,광진구,서울특별시,2019,351350,47681,95399
11215,광진구,서울특별시,2020,346682,50311,95342
11215,광진구,서울특별시,2021,339996,51450,93916
11215,광진구,서울특별시,2022,337416,53737,93951
11215,광진구,서울특별시,2023,335554,56461,93180
11215,광진구,서울특별시,2024,331963,59334,91609
11215,광진구,서울특별시,2025,331167,62317,90900
11230,동대문구,서울특별시,2014,363687,50756,90146
11230,동대문구,서울특별시,2015,360153,52331,88064
11230,동대문구,서울특별시,2016,355069,53301,85463
11230,동대문구,서울특별시,2017,350647,55547,83445
11230,동대문구,서울특별시,2018,348052,56991,82639
11230,동대문구,서울특별시,2019,346194,59170,83341
11230,동대문구,서울특별시,2020,342837,61612,84070
11230,동대문구,서울특별시,2021,337400,62009,84044
11230,동대문구,서울특별시,2022,336644,64255,84776
11230,동대문구,서울특별시,2023,341149,66790,86602
11230,동대문구,서울특별시,2024,338735,69314,85925
11230,동대문구,서울특별시,2025,346241,72487,87736
11260,중랑구,서울특별시,2014,418836,51919,102006
11260,중랑구,서울특별시,2015,413909,54021,98094
