demand_id,hospital_id,route_distance_km,route_duration_min,route_status,collected_at,straight_distance_km
11010530,JDQ4MTg4MSM1MSMkMSMkMCMkOTkkNTgxMzUxIzIxIyQxIyQxIyQxMyQzNjE4MzIjNjEjJDEjJDQjJDgz,1.081,7.67,ok,2026-08-11T00:38:01.783257+00:00,0.188
11010530,JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3OSQ0NjEwMDIjNjEjJDEjJDQjJDgz,1.298,10.7,ok,2026-08-11T00:38:01.783257+00:00,0.652
11010530,JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ4OSQyNjE0ODEjODEjJDEjJDYjJDgz,1.523,12.88,ok,2026-08-11T00:38:01.783257+00:00,0.803
11010530,JDQ4MTg4MSM1MSMkMSMkOCMkOTkkNTgxMzUxIzExIyQxIyQzIyQ3OSQyNjE0ODEjNzEjJDEjJDgjJDgz,1.649,14.58,ok,2026-08-11T00:38:01.783257+00:00,1.06
11010530,JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQ3IyQ3OSQzNjEwMDIjODEjJDEjJDYjJDgz,1.574,5.32,ok,2026-08-11T00:38:01.783257+00:00,1.147
11010540,JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3OSQzNjE4MzIjODEjJDEjJDYjJDgz,4.878,17.03,ok,2026-08-11T00:38:11.713567+00:00,1.841
11010540,JDQ4MTg4MSM1MSMkMSMkMCMkOTkkMzgxMzUxIzUxIyQxIyQxIyQ3OSQyNjE0ODEjNzEjJDEjJDgjJDgz,3.194,17.22,ok,2026-08-11T00:38:11.713567+00:00,1.96
11010540,JDQ4MTg4MSM1MSMkMSMkMCMkOTkkNTgxMzUxIzIxIyQxIyQxIyQxMyQzNjE4MzIjNjEjJDEjJDQjJDgz,2.985,14.12,ok,2026-08-11T00:38:11.713567+00:00,2.003
11010540,JDQ4MTg4MSM1MSMkMSMkMCMkOTkkMzgxMzUxIzMxIyQxIyQ3IyQ3OSQyNjEyMjIjNDEjJDEjJDgjJDgz,5.228,14.97,ok,2026-08-11T00:38:11.713567+00:00,2.317
11010540,JDQ4MTg4MSM1MSMkMSMkMCMkOTkkNTgxMzUxIzExIyQxIyQ3IyQwMyQzNjE4MzIjNDEjJDEjJDgjJDgz,4.089,11.22,ok,2026-08-11T00:38:11.713567+00:00,2.35
11010550,JDQ4MTg4MSM1MSMkMSMkMCMkOTkkMzgxMzUxIzMxIyQxIyQ3IyQ3OSQyNjEyMjIjNDEjJDEjJDgjJDgz,3.106,9.33,ok,2026-08-11T00:38:12.125514+00:00,1.2
11010550,JDQ4MTg4MSM1MSMkMSMkMCMkOTkkMzgxMzUxIzExIyQxIyQzIyQ4MiQzNjE0ODEjNTEjJDEjJDIjJDgz,3.998,13.37,ok,2026-08-11T00:38:12.125514+00:00,1.8
11010550,JDQ4MTg4MSM1MSMkMSMkMCMkOTkkNTgxMzUxIzIxIyQxIyQxIyQ5MiQyNjEwMDIjNDEjJDEjJDgjJDgz,4.602,14.17,ok,2026-08-11T00:38:12.125514+00:00,2.114
11010550,JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQ3IyQ3OSQzNjEwMDIjODEjJDEjJDYjJDgz,4.406,13.3,ok,2026-08-11T00:38:12.125514+00:00,2.48
11010550,JDQ4MTg4MSM1MSMkMSMkMCMkOTkkNTgxMzUxIzIxIyQxIyQxIyQxMyQzNjE4MzIjNjEjJDEjJDQjJDgz,3.762,15.23,ok,2026-08-11T00:38:12.125514+00:00,2.822
11010560,JDQ4MTg4MSM1MSMkMSMkMCMkOTkkMzgxMzUxIzMxIyQxIyQ3IyQ3OSQyNjEyMjIjNDEjJDEjJDgjJDgz,2.066,7.17,ok,2026-08-11T00:38:12.534966+00:00,0.987
11010560,JDQ4MTg4MSM1MSMkMSMkMCMkOTkkNTgxMzUxIzIxIyQxIyQxIyQxMyQyNjE0ODEjODEjJDEjJDIjJDgz,6.72,19.68,ok,2026-08-11T00:38:12.534966+00:00,3.177
11010560,JDQ4MTg4MSM1MSMkMSMkMCMkOTkkNTgxMzUxIzIxIyQxIyQxIyQ4MiQzNjE0ODEjODEjJDEjJDYjJDgz,5.371,13.35,ok,2026-08-11T00:38:12.534966+00:00,3.237
11010560,JDQ4MTg4MSM1MSMkMSMkMCMkOTkkNTgxMzUxIzIxIyQxIyQxIyQ5OSQzNjEwMDIjODEjJDEjJDIjJDgz,5.569,14.05,ok,2026-08-11T00:38:12.534966+00:00,3.261
11010560,JDQ4MTg4MSM1MSMkMSMkMCMkOTkkNTgxMzUxIzIxIyQxIyQxIyQ5MiQyNjEwMDIjNDEjJDEjJDgjJDgz,5.327,16.98,ok,2026-08-11T00:38:12.534966+00:00,3.316
11010570,JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQ3IyQ3OSQzNjEwMDIjODEjJDEjJDYjJDgz,1.611,8.15,ok,2026-08-11T00:38:12.841816+00:00,0.236
11010570,JDQ4MTg4MSM1MSMkMSMkMCMkOTkkNTgxMzUxIzIxIyQxIyQxIyQxMyQzNjE4MzIjNjEjJDEjJDQjJDgz,3.187,14.58,ok,2026-08-11T00:38:12.841816+00:00,1.218
11010570,JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3OSQ0NjEwMDIjNjEjJDEjJDQjJDgz,3.404,17.58,ok,2026-08-11T00:38:12.841816+00:00,1.26
11010570,JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ4OSQyNjE0ODEjODEjJDEjJDYjJDgz,2.528,17.2,ok,2026-08-11T00:38:12.841816+00:00,1.33
11010570,JDQ4MTg4MSM1MSMkMSMkOCMkOTkkNTgxMzUxIzExIyQxIyQzIyQ3OSQyNjE0ODEjNzEjJDEjJDgjJDgz,1.987,12.43,ok,2026-08-11T00:38:12.841816+00:00,1.456
11010580,JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3OSQ0NjEwMDIjNjEjJDEjJDQjJDgz,0.691,4.75,ok,2026-08-11T00:38:13.249556+00:00,0.436
11010580,JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ4OSQyNjE0ODEjODEjJDEjJDYjJDgz,0.341,1.13,ok,2026-08-11T00:38:13.249556+00:00,0.501
11010580,JDQ4MTg4MSM1MSMkMSMkMCMkOTkkNTgxMzUxIzIxIyQxIyQxIyQxMyQzNjE4MzIjNjEjJDEjJDQjJDgz,2.765,10.03,ok,2026-08-11T00:38:13.249556+00:00,0.62
11010580,JDQ4MTg4MSM1MSMkMSMkOCMkOTkkNTgxMzUxIzExIyQxIyQzIyQ3OSQyNjE0ODEjNzEjJDEjJDgjJDgz,0.637,2.78,ok,2026-08-11T00:38:13.249556+00:00,0.663
11010580,JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQ3IyQ3OSQzNjEwMDIjODEjJDEjJDYjJDgz,1.033,2.32,ok,2026-08-11T00:38:13.249556+00:00,0.744
