region_code,latitude,longitude,hospital_count,hospital_beds,access_distance_km,access_duration_min,access_method,route_exact_share_pct
11110,37.5949130973809,126.9773466734574,8,3220,1.98,7.38,kakao_car,100.0
11140,37.56003037389424,126.99574093768514,4,737,1.45,5.87,kakao_car,100.0
11170,37.53131903839592,126.98000551914625,2,737,3.19,10.17,kakao_car,100.0
11200,37.55095864122644,127.04093214728805,9,1671,1.63,5.88,kakao_car,100.0
11215,37.54680685966643,127.08582894732434,9,1923,1.55,5.92,kakao_car,100.0
11230,37.58194373956631,127.05491594136645,24,4458,1.11,4.12,kakao_car,100.0
11260,37.597796395605215,127.09293947134492,19,2652,1.06,4.43,kakao_car,100.0
11290,37.60566724785546,127.01759692671632,15,3108,1.45,5.27,kakao_car,100.0
11305,37.64357451313232,127.01117183100249,14,1871,1.08,4.36,kakao_car,100.0
11320,37.66938694017914,127.03236836405226,13,2273,1.21,4.76,kakao_car,100.0
11350,37.65249945498548,127.0751284226659,15,2895,1.59,6.12,kakao_car,100.0
11380,37.61929262549738,126.92711199198608,18,2959,1.28,5.04,kakao_car,100.0
11410,37.57788034969797,126.93906109307856,10,3248,1.2,4.8,kakao_car,100.0
11440,37.55945576587017,126.9083182734124,9,666,1.72,5.64,kakao_car,100.0
11470,37.52471451484711,126.8554058378418,9,2130,1.37,5.69,kakao_car,100.0
11500,37.5612581822862,126.822776082856,30,3991,1.27,4.92,kakao_car,94.6
11530,37.49432158318781,126.85642288402748,19,4226,1.18,5.09,kakao_car,100.0
11545,37.46041473862823,126.90105226417133,10,1329,1.29,5.13,kakao_car,100.0
11560,37.52246647328298,126.91004380927724,26,4931,1.22,3.97,kakao_car,100.0
11590,37.498803578012094,126.95173693481264,8,2001,1.14,4.81,kakao_car,100.0
11620,37.467392371738576,126.94537743867004,14,1657,1.38,6.02,kakao_car,100.0
11650,37.47330830222388,127.0313096073619,20,3212,1.64,5.37,kakao_car,100.0
11680,37.4966679924387,127.06299661892042,45,6132,1.33,4.84,kakao_car,100.0
11710,37.50566916370027,127.11515904800297,34,5554,1.6,5.33,kakao_car,100.0
11740,37.5504194816519,127.14703499480478,25,5204,1.41,5.57,kakao_car,100.0
26110,35.10523788020968,129.0320476713885,6,1500,0.78,3.24,kakao_car,100.0
